# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Mar 04 15:04:43 AEDT 2024 [seed=1709525081974]
# /home/sebastiand/Dropbox/projects_WORKING/BETS_prior_sensitivity/cholera/cholera_fixed_phi.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
1350000	-972.2655092609267	-972.2655092609267	-3.3306690738754712E-15	1957.3310064209502	52.66899357904981	11421.136749348037	1000.0	0.61186505642341	0.031146604746123074	1.5932503970211225E-6	1.5932503970211214E-6	-3.3306690738754712E-15	0.0	-967.4748881999299
1375000	-966.641607353115	-966.641607353115	-4.662936703425661E-15	2527.185910009509	-517.1859100095089	11447.947109323706	1000.0	5.208550627145464	0.17725710820824753	1.3704875271592634E-6	1.3704875271592644E-6	-4.662936703425661E-15	0.0	-960.0724975861893
1400000	-972.8472967074007	-972.8472967074007	-4.329869796038114E-15	2368.985351234088	-358.98535123408783	13349.444991949154	1000.0	27.05521281597243	0.052713621087315074	1.0948667465695841E-4	1.0948667465695837E-4	-4.329869796038114E-15	0.0	-959.7659579624748
1425000	-984.5451095646827	-984.5451095646827	-1.6653345369377354E-15	2298.7947523252824	-288.7947523252824	13276.29158476898	1000.0	1.4596851883014847	0.00612008993081791	7.422784733489657E-7	7.422784733489658E-7	-1.6653345369377354E-15	0.0	-979.9884831253673
1450000	-963.9716762722886	-963.9716762722886	-3.663735981263019E-15	1219.465528014825	790.5344719851751	10796.636738294588	1000.0	6.138719782005776	0.03308586611747518	1.0866703458144516E-4	1.0866703458144514E-4	-3.663735981263019E-15	0.0	-954.0761699653688
1475000	-968.8798897081576	-968.8798897081576	-4.996003610813208E-15	1580.0847281638717	429.91527183612834	11260.101700378757	1000.0	0.6772010493406907	0.48128781589308783	2.526106103326347E-4	2.5261061033263465E-4	-4.996003610813208E-15	0.0	-957.8147045203004
1500000	-964.0464173462807	-964.0464173462807	-5.995204332975852E-15	887.5474865392525	1122.4525134607475	8520.478276420297	1000.0	6.17808669243704	0.5284880424123442	1.7823772025661382E-6	1.7823772025661386E-6	-5.995204332975852E-15	0.0	-956.2452094300367
1525000	-968.8698452877362	-968.8698452877362	-5.995204332975852E-15	1675.729969916974	334.2700300830261	11003.417706710417	1000.0	24.585965662175894	0.3714246570367038	4.80507100836593E-9	4.805071008365928E-9	-5.995204332975852E-15	0.0	-961.7664459108562
1550000	-965.3238488162017	-965.3238488162017	-3.996802888650567E-15	1237.8374366056614	772.1625633943386	9602.795845161298	1000.0	10.872394519873993	0.735799473477328	5.25602510545741E-5	5.2560251054574094E-5	-3.996802888650567E-15	0.0	-954.0218234592533
1575000	-976.2473339107746	-976.2473339107746	-5.662137425588305E-15	2555.65809677604	-545.6580967760401	12133.681217764464	1000.0	0.8198298914162468	0.20355792422084282	1.7598888634469075E-4	1.7598888634469094E-4	-5.662137425588305E-15	0.0	-966.6318942549545
1600000	-962.8800102173095	-962.8800102173095	-4.996003610813208E-15	2730.9233057065317	-720.9233057065317	13725.800443522765	1000.0	6.569090148391292	0.10637153646969828	6.657839531347339E-5	6.657839531347336E-5	-4.996003610813208E-15	0.0	-953.357749938991
1625000	-971.8706652559	-971.8706652559	-3.996802888650567E-15	2933.1153541342837	-923.1153541342837	13731.254169714653	1000.0	113.91955284169383	0.05040919120022832	1.775088195877878E-5	1.7750881958778776E-5	-3.996802888650567E-15	0.0	-956.7223816622229
1650000	-958.9977112812401	-958.9977112812401	-4.996003610813208E-15	1630.089158877599	379.91084112240105	10245.233333550535	1000.0	0.43844977979194005	0.4047953090666177	5.22253720456871E-5	5.222537204568713E-5	-4.996003610813208E-15	0.0	-951.1233627535585
1675000	-967.8472717223914	-967.8472717223914	-4.996003610813208E-15	1979.7716138727237	30.22838612727628	11131.153505715734	1000.0	0.2356140074438398	0.10796918210450986	1.6748848249550918E-4	1.674884824955092E-4	-4.996003610813208E-15	0.0	-958.4685242620468
1700000	-954.8626293596354	-954.8626293596354	-5.329070518200756E-15	553.5984911968502	1456.4015088031497	7420.425004852928	1000.0	2.1109349193381024	0.4619703726887606	1.2580821752378593E-5	1.2580821752378592E-5	-5.329070518200756E-15	0.0	-947.33917123556
1725000	-955.6771915501491	-955.6771915501491	-4.996003610813208E-15	1052.696235331085	957.3037646689149	8677.738229754523	1000.0	7.193961841046915	0.16730693921502043	5.0135989192628485E-5	5.01359891926285E-5	-4.996003610813208E-15	0.0	-946.2795744377503
1750000	-957.3636903300951	-957.3636903300951	-2.3314683517128295E-15	1115.8486401428852	894.1513598571148	10205.461950212955	1000.0	37.11600839847815	0.022605811691863986	6.266699098156779E-5	6.26669909815678E-5	-2.3314683517128295E-15	0.0	-944.4961881172158
1775000	-967.2364932390537	-967.2364932390537	-4.329869796038114E-15	1250.9538945099935	759.0461054900065	9822.06110552295	1000.0	3.4263860992431994	2.25299354998747	1.0583149575724758E-5	1.0583149575724763E-5	-4.329869796038114E-15	0.0	-955.8659841494451
1800000	-970.2189732302171	-970.2189732302171	-5.329070518200756E-15	697.2235650879832	1312.7764349120168	9133.155703703087	1000.0	2.0053636516298026	0.1793374502885123	1.3870956284740276E-4	1.3870956284740284E-4	-5.329070518200756E-15	0.0	-961.0331731908515
1825000	-968.4824489219241	-968.4824489219241	-5.329070518200756E-15	1050.9764722365212	959.0235277634788	8953.554701778337	1000.0	17.526752397341127	0.27868559179776453	2.4562596719173563E-4	2.4562596719173574E-4	-5.329070518200756E-15	0.0	-954.6201282813668
1850000	-958.8982795845889	-958.8982795845889	-5.995204332975852E-15	2489.3727933835526	-479.37279338355256	12417.684229727163	1000.0	1.9775752960127577	0.5128649806559937	5.3419834759099475E-5	5.34198347590995E-5	-5.995204332975852E-15	0.0	-950.2908103011061
1875000	-966.7119134551967	-966.7119134551967	-5.329070518200756E-15	1002.6061879053923	1007.3938120946077	7986.7803048102905	1000.0	4.4604232360210565	0.5464850624376145	1.9836390045143666E-5	1.9836390045143662E-5	-5.329070518200756E-15	0.0	-957.9573192715669
1900000	-944.182326632406	-944.182326632406	-4.996003610813208E-15	1429.1283790955886	580.8716209044114	10562.506848670952	1000.0	2.907104549446668	0.18857127961260742	4.3811413699099196E-8	4.381141369909919E-8	-4.996003610813208E-15	0.0	-940.00410516615
1925000	-980.4086598048925	-980.4086598048925	-4.996003610813208E-15	1150.8198727092863	859.1801272907137	10532.161174929335	1000.0	4.150430181688656	1.0830604440370681	6.766809512403037E-5	6.766809512403033E-5	-4.996003610813208E-15	0.0	-969.6446292414435
1950000	-955.5631992778954	-955.5631992778954	-5.662137425588305E-15	1227.2064938227181	782.7935061772819	9064.470013716757	1000.0	8.306801923101684	0.2655067622329744	5.0531382150096637E-5	5.053138215009663E-5	-5.662137425588305E-15	0.0	-945.7240398023927
1975000	-959.1427721169488	-959.1427721169488	-5.329070518200756E-15	1888.1254224135355	121.87457758646451	11036.822601783424	1000.0	0.45753121433937777	0.9669155681510772	1.4547293292204232E-5	1.4547293292204228E-5	-5.329070518200756E-15	0.0	-951.2015450511063
2000000	-964.8463497013026	-964.8463497013026	-5.662137425588305E-15	1479.3042013662548	530.6957986337452	10336.902074771415	1000.0	0.0855747271518458	0.4966946557299539	1.378827556402065E-4	1.378827556402064E-4	-5.662137425588305E-15	0.0	-954.2888093449734
2025000	-969.6088325612908	-969.6088325612908	-4.996003610813208E-15	1227.6719831640303	782.3280168359697	9867.535301302942	1000.0	5.212531368360721	0.16800834250219007	6.896445639200473E-5	6.896445639200475E-5	-4.996003610813208E-15	0.0	-960.3588257449677
2050000	-956.4448449172547	-956.4448449172547	-6.328271240363399E-15	935.7525536835224	1074.2474463164776	8264.652337740112	1000.0	16.04270405026466	1.2110938057522103	3.3766608871815835E-5	3.3766608871815835E-5	-6.328271240363399E-15	0.0	-943.7815016299377
2075000	-966.2177532221133	-966.2177532221133	-6.328271240363399E-15	919.2981253550466	1090.7018746449535	9031.747425169535	1000.0	8.280374878910854	1.1319804261633744	7.465932574306512E-5	7.465932574306511E-5	-6.328271240363399E-15	0.0	-954.2378650257514
